id,customer_code,customer_name,segment,value_tier,country
142,C12531,客户_12531,零售型,低价值,United Kingdom
143,C12534,客户_12534,批发型,低价值,United Kingdom
144,C12535,客户_12535,零售型,低价值,United Kingdom
145,C12536,客户_12536,批发型,高价值,United Kingdom
146,C12538,客户_12538,批发型,中价值,United Kingdom
147,C12539,客户_12539,批发型,高价值,United Kingdom
148,C12540,客户_12540,批发型,高价值,United Kingdom
149,C12541,客户_12541,批发型,中价值,United Kingdom
150,C12544,客户_12544,批发型,中价值,United Kingdom
151,C12545,客户_12545,批发型,中价值,United Kingdom
152,C12546,客户_12546,批发型,中价值,United Kingdom
153,C12550,客户_12550,零售型,高价值,United Kingdom
154,C12552,客户_12552,零售型,中价值,United Kingdom
155,C12553,客户_12553,批发型,高价值,United Kingdom
156,C12556,客户_12556,零售型,中价值,United Kingdom
157,C12557,客户_12557,批发型,高价值,United Kingdom
158,C12558,客户_12558,批发型,高价值,United Kingdom
159,C12560,客户_12560,批发型,高价值,United Kingdom
160,C12561,客户_12561,零售型,低价值,United Kingdom
161,C12562,客户_12562,批发型,高价值,United Kingdom
162,C12564,客户_12564,批发型,低价值,United Kingdom
163,C12565,客户_12565,批发型,低价值,United Kingdom
164,C12566,客户_12566,批发型,低价值,United Kingdom
165,C12567,客户_12567,批发型,高价值,United Kingdom
166,C12569,客户_12569,批发型,高价值,United Kingdom
167,C12571,客户_12571,批发型,中价值,United Kingdom
168,C12572,客户_12572,零售型,中价值,United Kingdom
169,C12573,客户_12573,零售型,低价值,United Kingdom
170,C12574,客户_12574,批发型,低价值,United Kingdom
171,C12576,客户_12576,批发型,高价值,United Kingdom
172,C12577,客户_12577,零售型,中价值,United Kingdom
173,C12578,客户_12578,批发型,高价值,United Kingdom
174,C12579,客户_12579,批发型,中价值,United Kingdom
175,C12580,客户_12580,批发型,低价值,United Kingdom
176,C12583,客户_12583,批发型,高价值,United Kingdom
177,C12584,客户_12584,零售型,高价值,United Kingdom
178,C12585,客户_12585,批发型,高价值,United Kingdom
179,C12588,客户_12588,零售型,低价值,United Kingdom
180,C12589,客户_12589,批发型,中价值,United Kingdom
181,C12590,客户_12590,批发型,高价值,United Kingdom
182,C12591,客户_12591,批发型,低价值,United Kingdom
183,C12593,客户_12593,批发型,中价值,United Kingdom
184,C12594,客户_12594,批发型,高价值,United Kingdom
185,C12596,客户_12596,批发型,中价值,United Kingdom
186,C12597,客户_12597,批发型,高价值,United Kingdom
187,C12598,客户_12598,批发型,高价值,United Kingdom
188,C12599,客户_12599,批发型,高价值,United Kingdom
189,C12600,客户_12600,批发型,高价值,United Kingdom
190,C12601,客户_12601,零售型,低价值,United Kingdom
191,C12602,客户_12602,批发型,低价值,United Kingdom
192,C12604,客户_12604,批发型,低价值,United Kingdom
193,C12607,客户_12607,批发型,中价值,United Kingdom
194,C12609,客户_12609,零售型,中价值,United Kingdom
195,C12610,客户_12610,批发型,高价值,United Kingdom
196,C12611,客户_12611,批发型,中价值,United Kingdom
197,C12612,客户_12612,批发型,中价值,United Kingdom
198,C12613,客户_12613,批发型,高价值,United Kingdom
199,C12614,客户_12614,零售型,中价值,United Kingdom
200,C12615,客户_12615,批发型,高价值,United Kingdom
201,C12616,客户_12616,批发型,中价值,United Kingdom
202,C12617,客户_12617,零售型,低价值,United Kingdom
203,C12618,客户_12618,零售型,低价值,United Kingdom
204,C12619,客户_12619,批发型,高价值,United Kingdom
205,C12620,客户_12620,批发型,中价值,United Kingdom
206,C12621,客户_12621,批发型,高价值,United Kingdom
207,C12623,客户_12623,批发型,中价值,United Kingdom
208,C12624,客户_12624,批发型,低价值,United Kingdom
209,C12625,客户_12625,批发型,高价值,United Kingdom
210,C12626,客户_12626,批发型,高价值,United Kingdom
211,C12627,客户_12627,批发型,高价值,United Kingdom
212,C12628,客户_12628,批发型,中价值,United Kingdom
213,C12630,客户_12630,批发型,中价值,United Kingdom
214,C12631,客户_12631,批发型,中价值,United Kingdom
215,C12633,客户_12633,批发型,高价值,United Kingdom
216,C12635,客户_12635,批发型,高价值,United Kingdom
217,C12637,客户_12637,批发型,高价值,United Kingdom
218,C12638,客户_12638,批发型,低价值,United Kingdom
219,C12639,客户_12639,零售型,低价值,United Kingdom
220,C12640,客户_12640,零售型,低价值,United Kingdom
221,C12641,客户_12641,零售型,低价值,United Kingdom
222,C12642,客户_12642,批发型,高价值,United Kingdom
223,C12643,客户_12643,批发型,高价值,United Kingdom
224,C12644,客户_12644,批发型,中价值,United Kingdom
225,C12645,客户_12645,批发型,中价值,United Kingdom
226,C12646,客户_12646,批发型,中价值,United Kingdom
227,C12647,客户_12647,零售型,高价值,United Kingdom
228,C12649,客户_12649,批发型,低价值,United Kingdom
229,C12651,客户_12651,批发型,低价值,United Kingdom
230,C12652,客户_12652,批发型,中价值,United Kingdom
231,C12653,客户_12653,批发型,高价值,United Kingdom
232,C12654,客户_12654,零售型,低价值,United Kingdom
233,C12656,客户_12656,批发型,高价值,United Kingdom
234,C12657,客户_12657,批发型,中价值,United Kingdom
235,C12658,客户_12658,批发型,低价值,United Kingdom
236,C12659,客户_12659,零售型,低价值,United Kingdom
237,C12660,客户_12660,批发型,中价值,United Kingdom
238,C12662,客户_12662,批发型,高价值,United Kingdom
239,C12664,客户_12664,批发型,高价值,United Kingdom
240,C12667,客户_12667,批发型,低价值,United Kingdom
241,C12668,客户_12668,批发型,高价值,United Kingdom
242,C12669,客户_12669,批发型,高价值,United Kingdom
243,C12670,客户_12670,批发型,高价值,United Kingdom
244,C12672,客户_12672,批发型,低价值,United Kingdom
245,C12673,客户_12673,批发型,中价值,United Kingdom
246,C12674,客户_12674,批发型,高价值,United Kingdom
247,C12676,客户_12676,零售型,高价值,United Kingdom
248,C12678,客户_12678,批发型,高价值,United Kingdom
249,C12679,客户_12679,批发型,中价值,United Kingdom
250,C12680,客户_12680,零售型,中价值,United Kingdom
251,C12681,客户_12681,批发型,高价值,United Kingdom
252,C12682,客户_12682,批发型,高价值,United Kingdom
253,C12683,客户_12683,批发型,高价值,United Kingdom
254,C12684,客户_12684,批发型,高价值,United Kingdom
255,C12685,客户_12685,批发型,高价值,United Kingdom
256,C12686,客户_12686,批发型,低价值,United Kingdom
257,C12688,客户_12688,批发型,高价值,United Kingdom
258,C12689,客户_12689,批发型,高价值,United Kingdom
259,C12690,客户_12690,批发型,低价值,United Kingdom
260,C12691,客户_12691,批发型,低价值,United Kingdom
261,C12693,客户_12693,批发型,中价值,United Kingdom
262,C12694,客户_12694,批发型,高价值,United Kingdom
263,C12695,客户_12695,批发型,中价值,United Kingdom
264,C12697,客户_12697,批发型,高价值,United Kingdom
265,C12700,客户_12700,批发型,高价值,United Kingdom
266,C12701,客户_12701,批发型,中价值,United Kingdom
267,C12702,客户_12702,批发型,低价值,United Kingdom
268,C12704,客户_12704,批发型,高价值,United Kingdom
269,C12705,客户_12705,批发型,高价值,United Kingdom
270,C12707,客户_12707,批发型,低价值,United Kingdom
271,C12708,客户_12708,批发型,高价值,United Kingdom
272,C12709,客户_12709,批发型,高价值,United Kingdom
273,C12710,客户_12710,批发型,高价值,United Kingdom
274,C12712,客户_12712,批发型,高价值,United Kingdom
275,C12713,客户_12713,批发型,低价值,United Kingdom
276,C12714,客户_12714,批发型,高价值,United Kingdom
277,C12715,客户_12715,批发型,低价值,United Kingdom
278,C12716,客户_12716,批发型,高价值,United Kingdom
279,C12717,客户_12717,批发型,高价值,United Kingdom
280,C12718,客户_12718,批发型,低价值,United Kingdom
281,C12719,客户_12719,批发型,中价值,United Kingdom
282,C12720,客户_12720,批发型,高价值,United Kingdom
283,C12721,客户_12721,批发型,高价值,United Kingdom
284,C12722,客户_12722,批发型,中价值,United Kingdom
285,C12723,客户_12723,零售型,低价值,United Kingdom
286,C12724,客户_12724,批发型,高价值,United Kingdom
287,C12725,客户_12725,批发型,中价值,United Kingdom
288,C12726,客户_12726,批发型,高价值,United Kingdom
289,C12727,客户_12727,批发型,高价值,United Kingdom
290,C12728,客户_12728,批发型,中价值,United Kingdom
291,C12729,客户_12729,零售型,低价值,United Kingdom
292,C12731,客户_12731,批发型,高价值,United Kingdom
293,C12732,客户_12732,批发型,低价值,United Kingdom
294,C12733,客户_12733,批发型,中价值,United Kingdom
295,C12735,客户_12735,零售型,中价值,United Kingdom
296,C12738,客户_12738,批发型,低价值,United Kingdom
297,C12739,客户_12739,批发型,高价值,United Kingdom
298,C12740,客户_12740,批发型,低价值,United Kingdom
299,C12743,客户_12743,零售型,低价值,United Kingdom
300,C12744,客户_12744,批发型,高价值,United Kingdom
301,C12747,客户_12747,批发型,高价值,United Kingdom
302,C12748,客户_12748,零售型,高价值,United Kingdom
303,C12749,客户_12749,零售型,高价值,United Kingdom
304,C12750,客户_12750,批发型,低价值,United Kingdom
305,C12752,客户_12752,批发型,高价值,United Kingdom
306,C12753,客户_12753,批发型,高价值,United Kingdom
307,C12754,客户_12754,零售型,低价值,United Kingdom
308,C12756,客户_12756,批发型,低价值,United Kingdom
309,C12757,客户_12757,零售型,高价值,United Kingdom
310,C12758,客户_12758,批发型,高价值,United Kingdom
311,C12759,客户_12759,批发型,中价值,United Kingdom
312,C12762,客户_12762,批发型,中价值,United Kingdom
313,C12763,客户_12763,批发型,低价值,United Kingdom
314,C12764,客户_12764,批发型,中价值,United Kingdom
315,C12766,客户_12766,批发型,高价值,United Kingdom
316,C12769,客户_12769,批发型,中价值,United Kingdom
317,C12770,客户_12770,批发型,高价值,United Kingdom
318,C12772,客户_12772,零售型,高价值,United Kingdom
319,C12775,客户_12775,批发型,高价值,United Kingdom
320,C12778,客户_12778,批发型,中价值,United Kingdom
321,C12779,客户_12779,批发型,高价值,United Kingdom
322,C12782,客户_12782,批发型,高价值,United Kingdom
323,C12783,客户_12783,批发型,高价值,United Kingdom
324,C12784,客户_12784,零售型,低价值,United Kingdom
325,C12785,客户_12785,批发型,低价值,United Kingdom
326,C12787,客户_12787,批发型,低价值,United Kingdom
327,C12790,客户_12790,批发型,低价值,United Kingdom
328,C12792,客户_12792,批发型,中价值,United Kingdom
329,C12793,客户_12793,批发型,中价值,United Kingdom
330,C12794,客户_12794,批发型,中价值,United Kingdom
331,C12795,客户_12795,零售型,中价值,United Kingdom
332,C12797,客户_12797,批发型,低价值,United Kingdom
333,C12798,客户_12798,批发型,高价值,United Kingdom
334,C12802,客户_12802,批发型,中价值,United Kingdom
335,C12808,客户_12808,批发型,低价值,United Kingdom
336,C12809,客户_12809,批发型,低价值,United Kingdom
337,C12811,客户_12811,批发型,中价值,United Kingdom
338,C12812,客户_12812,批发型,中价值,United Kingdom
339,C12814,客户_12814,批发型,中价值,United Kingdom
340,C12815,客户_12815,批发型,中价值,United Kingdom
341,C12816,客户_12816,零售型,高价值,United Kingdom
342,C12820,客户_12820,批发型,中价值,United Kingdom
343,C12821,客户_12821,批发型,低价值,United Kingdom
344,C12822,客户_12822,批发型,中价值,United Kingdom
345,C12824,客户_12824,批发型,中价值,United Kingdom
346,C12826,客户_12826,批发型,中价值,United Kingdom
347,C12827,客户_12827,零售型,低价值,United Kingdom
348,C12828,客户_12828,零售型,中价值,United Kingdom
349,C12829,客户_12829,零售型,低价值,United Kingdom
350,C12830,客户_12830,批发型,高价值,United Kingdom
351,C12831,客户_12831,批发型,低价值,United Kingdom
352,C12832,客户_12832,零售型,中价值,United Kingdom
353,C12833,客户_12833,批发型,中价值,United Kingdom
354,C12836,客户_12836,批发型,高价值,United Kingdom
355,C12837,客户_12837,零售型,低价值,United Kingdom
356,C12838,客户_12838,零售型,中价值,United Kingdom
357,C12839,客户_12839,批发型,高价值,United Kingdom
358,C12840,客户_12840,批发型,高价值,United Kingdom
359,C12841,客户_12841,零售型,高价值,United Kingdom
360,C12842,客户_12842,批发型,中价值,United Kingdom
361,C12843,客户_12843,零售型,中价值,United Kingdom
362,C12844,客户_12844,零售型,中价值,United Kingdom
363,C12845,客户_12845,零售型,低价值,United Kingdom
364,C12847,客户_12847,零售型,中价值,United Kingdom
365,C12849,客户_12849,零售型,中价值,United Kingdom
366,C12851,客户_12851,零售型,低价值,United Kingdom
367,C12852,客户_12852,批发型,低价值,United Kingdom
368,C12853,客户_12853,批发型,高价值,United Kingdom
369,C12854,客户_12854,零售型,高价值,United Kingdom
370,C12856,客户_12856,零售型,中价值,United Kingdom
371,C12857,客户_12857,零售型,中价值,United Kingdom
372,C12863,客户_12863,批发型,低价值,United Kingdom
373,C12865,客户_12865,批发型,高价值,United Kingdom
374,C12866,客户_12866,批发型,低价值,United Kingdom
375,C12867,客户_12867,零售型,高价值,United Kingdom
376,C12868,客户_12868,批发型,高价值,United Kingdom
377,C12871,客户_12871,批发型,低价值,United Kingdom
378,C12872,客户_12872,批发型,中价值,United Kingdom
379,C12873,客户_12873,批发型,中价值,United Kingdom
380,C12875,客户_12875,批发型,高价值,United Kingdom
381,C12876,客户_12876,批发型,高价值,United Kingdom
382,C12877,客户_12877,零售型,高价值,United Kingdom
383,C12878,客户_12878,批发型,高价值,United Kingdom
384,C12879,客户_12879,批发型,低价值,United Kingdom
385,C12882,客户_12882,批发型,中价值,United Kingdom
386,C12883,客户_12883,零售型,中价值,United Kingdom
387,C12885,客户_12885,批发型,中价值,United Kingdom
388,C12886,客户_12886,零售型,中价值,United Kingdom
389,C12888,客户_12888,批发型,中价值,United Kingdom
390,C12890,客户_12890,零售型,低价值,United Kingdom
391,C12893,客户_12893,零售型,低价值,United Kingdom
392,C12895,客户_12895,批发型,低价值,United Kingdom
393,C12901,客户_12901,批发型,高价值,United Kingdom
394,C12902,客户_12902,零售型,低价值,United Kingdom
395,C12904,客户_12904,零售型,中价值,United Kingdom
396,C12906,客户_12906,批发型,高价值,United Kingdom
397,C12909,客户_12909,批发型,高价值,United Kingdom
398,C12910,客户_12910,批发型,高价值,United Kingdom
399,C12912,客户_12912,批发型,高价值,United Kingdom
400,C12913,客户_12913,批发型,高价值,United Kingdom
401,C12915,客户_12915,零售型,中价值,United Kingdom
402,C12916,客户_12916,批发型,高价值,United Kingdom
403,C12919,客户_12919,批发型,高价值,United Kingdom
404,C12921,客户_12921,批发型,高价值,United Kingdom
405,C12922,客户_12922,批发型,中价值,United Kingdom
406,C12923,客户_12923,零售型,低价值,United Kingdom
407,C12924,客户_12924,零售型,中价值,United Kingdom
408,C12925,客户_12925,批发型,中价值,United Kingdom
409,C12928,客户_12928,批发型,高价值,United Kingdom
410,C12930,客户_12930,批发型,低价值,United Kingdom
411,C12931,客户_12931,批发型,高价值,United Kingdom
412,C12933,客户_12933,零售型,中价值,United Kingdom
413,C12935,客户_12935,批发型,高价值,United Kingdom
414,C12936,客户_12936,批发型,中价值,United Kingdom
415,C12937,客户_12937,零售型,中价值,United Kingdom
416,C12938,客户_12938,批发型,低价值,United Kingdom
417,C12939,客户_12939,批发型,高价值,United Kingdom
418,C12940,客户_12940,零售型,中价值,United Kingdom
419,C12942,客户_12942,零售型,低价值,United Kingdom
420,C12944,客户_12944,批发型,中价值,United Kingdom
421,C12945,客户_12945,批发型,低价值,United Kingdom
422,C12947,客户_12947,批发型,中价值,United Kingdom
423,C12948,客户_12948,批发型,高价值,United Kingdom
424,C12949,客户_12949,批发型,高价值,United Kingdom
425,C12950,客户_12950,批发型,低价值,United Kingdom
426,C12951,客户_12951,批发型,中价值,United Kingdom
427,C12952,客户_12952,批发型,高价值,United Kingdom
428,C12955,客户_12955,批发型,高价值,United Kingdom
429,C12956,客户_12956,零售型,低价值,United Kingdom
430,C12957,客户_12957,批发型,高价值,United Kingdom
431,C12962,客户_12962,批发型,中价值,United Kingdom
432,C12963,客户_12963,批发型,中价值,United Kingdom
433,C12965,客户_12965,零售型,中价值,United Kingdom
434,C12966,客户_12966,零售型,低价值,United Kingdom
435,C12967,客户_12967,批发型,高价值,United Kingdom
436,C12970,客户_12970,零售型,低价值,United Kingdom
437,C12971,客户_12971,批发型,高价值,United Kingdom
438,C12974,客户_12974,零售型,低价值,United Kingdom
439,C12976,客户_12976,批发型,中价值,United Kingdom
440,C12980,客户_12980,批发型,高价值,United Kingdom
441,C12981,客户_12981,批发型,低价值,United Kingdom
442,C12982,客户_12982,批发型,中价值,United Kingdom
443,C12985,客户_12985,批发型,中价值,United Kingdom
444,C12987,客户_12987,零售型,中价值,United Kingdom
445,C12988,客户_12988,零售型,中价值,United Kingdom
446,C12989,客户_12989,批发型,高价值,United Kingdom
447,C12990,客户_12990,批发型,低价值,United Kingdom
448,C12991,客户_12991,批发型,中价值,United Kingdom
449,C12993,客户_12993,批发型,低价值,United Kingdom
450,C12994,客户_12994,零售型,高价值,United Kingdom
451,C12997,客户_12997,批发型,中价值,United Kingdom
452,C12999,客户_12999,批发型,低价值,United Kingdom
453,C13000,客户_13000,批发型,中价值,United Kingdom
454,C13001,客户_13001,批发型,高价值,United Kingdom
455,C13002,客户_13002,批发型,中价值,United Kingdom
456,C13004,客户_13004,批发型,高价值,United Kingdom
457,C13005,客户_13005,零售型,中价值,United Kingdom
458,C13008,客户_13008,批发型,低价值,United Kingdom
459,C13012,客户_13012,批发型,高价值,United Kingdom
460,C13013,客户_13013,批发型,高价值,United Kingdom
461,C13014,客户_13014,批发型,高价值,United Kingdom
462,C13015,客户_13015,零售型,高价值,United Kingdom
463,C13016,客户_13016,批发型,低价值,United Kingdom
464,C13018,客户_13018,批发型,高价值,United Kingdom
465,C13021,客户_13021,零售型,高价值,United Kingdom
466,C13023,客户_13023,零售型,中价值,United Kingdom
467,C13026,客户_13026,批发型,中价值,United Kingdom
468,C13027,客户_13027,批发型,高价值,United Kingdom
469,C13028,客户_13028,批发型,中价值,United Kingdom
470,C13029,客户_13029,批发型,低价值,United Kingdom
471,C13030,客户_13030,零售型,高价值,United Kingdom
472,C13032,客户_13032,零售型,高价值,United Kingdom
473,C13033,客户_13033,批发型,中价值,United Kingdom
474,C13034,客户_13034,批发型,中价值,United Kingdom
475,C13035,客户_13035,批发型,低价值,United Kingdom
476,C13037,客户_13037,批发型,中价值,United Kingdom
477,C13040,客户_13040,零售型,中价值,United Kingdom
478,C13043,客户_13043,批发型,高价值,United Kingdom
479,C13044,客户_13044,零售型,低价值,United Kingdom
480,C13045,客户_13045,批发型,低价值,United Kingdom
481,C13046,客户_13046,零售型,中价值,United Kingdom
482,C13047,客户_13047,批发型,高价值,United Kingdom
483,C13048,客户_13048,批发型,高价值,United Kingdom
484,C13049,客户_13049,批发型,中价值,United Kingdom
485,C13050,客户_13050,批发型,高价值,United Kingdom
486,C13052,客户_13052,批发型,中价值,United Kingdom
487,C13055,客户_13055,批发型,低价值,United Kingdom
488,C13058,客户_13058,批发型,中价值,United Kingdom
489,C13059,客户_13059,批发型,低价值,United Kingdom
490,C13064,客户_13064,零售型,中价值,United Kingdom
491,C13065,客户_13065,零售型,低价值,United Kingdom
492,C13066,客户_13066,零售型,低价值,United Kingdom
493,C13067,客户_13067,零售型,低价值,United Kingdom
494,C13068,客户_13068,批发型,高价值,United Kingdom
495,C13069,客户_13069,零售型,高价值,United Kingdom
496,C13070,客户_13070,批发型,低价值,United Kingdom
497,C13072,客户_13072,批发型,低价值,United Kingdom
498,C13077,客户_13077,零售型,中价值,United Kingdom
499,C13078,客户_13078,批发型,高价值,United Kingdom
500,C13079,客户_13079,批发型,低价值,United Kingdom
501,C13080,客户_13080,批发型,低价值,United Kingdom
502,C13081,客户_13081,批发型,高价值,United Kingdom
503,C13082,客户_13082,批发型,高价值,United Kingdom
504,C13083,客户_13083,批发型,低价值,United Kingdom
505,C13085,客户_13085,零售型,低价值,United Kingdom
506,C13089,客户_13089,批发型,高价值,United Kingdom
507,C13090,客户_13090,批发型,高价值,United Kingdom
508,C13091,客户_13091,批发型,中价值,United Kingdom
509,C13092,客户_13092,批发型,中价值,United Kingdom
510,C13093,客户_13093,批发型,高价值,United Kingdom
511,C13094,客户_13094,批发型,高价值,United Kingdom
512,C13095,客户_13095,批发型,低价值,United Kingdom
513,C13097,客户_13097,零售型,高价值,United Kingdom
514,C13098,客户_13098,批发型,高价值,United Kingdom
515,C13101,客户_13101,零售型,低价值,United Kingdom
516,C13102,客户_13102,批发型,高价值,United Kingdom
