id,record_date,cattle_id,farm_id,milk_yield,fat_rate,protein_rate,lactation_stage
117,2025-09-25,47,1,26.7,3.83,3.2,泌乳初期
118,2025-09-05,48,1,19.7,4.01,3.24,泌乳后期
119,2025-09-15,48,1,20.1,3.96,3.32,泌乳后期
120,2025-09-25,48,1,20.1,3.96,3.28,泌乳后期
121,2025-09-05,49,1,30.6,3.88,3.23,泌乳初期
122,2025-09-15,49,1,31.1,3.77,3.24,泌乳初期
123,2025-09-25,49,1,30.5,3.81,3.24,泌乳初期
124,2025-09-05,50,1,17.2,4.0,3.48,泌乳初期
125,2025-09-15,50,1,18.1,4.26,3.45,泌乳初期
126,2025-09-25,50,1,16.4,4.36,3.57,泌乳初期
127,2025-09-05,51,1,18.4,4.32,3.46,泌乳中期
128,2025-09-15,51,1,18.9,4.42,3.39,泌乳中期
129,2025-09-25,51,1,18.6,4.27,3.43,泌乳中期
130,2025-09-05,52,1,20.3,3.78,3.24,泌乳后期
131,2025-09-15,52,1,19.7,4.07,3.41,泌乳后期
132,2025-09-25,52,1,20.8,4.1,3.29,泌乳后期
133,2025-09-05,53,1,25.1,5.16,3.87,泌乳中期
134,2025-09-15,53,1,28.1,5.07,3.87,泌乳中期
135,2025-09-25,53,1,24.8,5.26,3.87,泌乳中期
136,2025-09-05,54,1,18.8,4.33,3.56,泌乳初期
137,2025-09-15,54,1,19.5,4.41,3.48,泌乳初期
138,2025-09-25,54,1,18.6,4.26,3.4,泌乳初期
139,2025-09-05,55,1,32.1,3.76,3.24,泌乳中期
140,2025-09-15,55,1,32.6,3.75,3.26,泌乳中期
141,2025-09-25,55,1,31.6,3.98,3.2,泌乳中期
142,2025-09-05,56,1,24.4,4.03,3.22,泌乳后期
143,2025-09-15,56,1,21.3,3.85,3.26,泌乳后期
144,2025-09-25,56,1,23.7,4.16,3.29,泌乳后期
145,2025-09-05,57,1,15.3,5.19,3.88,泌乳后期
146,2025-09-15,57,1,15.8,5.45,3.92,泌乳后期
147,2025-09-25,57,1,17.3,5.49,3.86,泌乳后期
148,2025-09-05,58,1,29.8,3.68,3.3,泌乳中期
149,2025-09-15,58,1,30.7,3.87,3.28,泌乳中期
150,2025-09-25,58,1,31.3,3.89,3.18,泌乳中期
151,2025-09-05,59,1,29.3,3.95,3.21,泌乳初期
152,2025-09-15,59,1,28.8,3.88,3.22,泌乳初期
153,2025-09-25,59,1,28.1,3.67,3.2,泌乳初期
154,2025-09-05,60,1,28.5,4.02,3.22,泌乳中期
155,2025-09-15,60,1,27.2,4.02,3.35,泌乳中期
156,2025-09-25,60,1,27.0,3.97,3.33,泌乳中期
157,2025-09-05,61,1,18.5,4.24,3.39,泌乳初期
158,2025-09-15,61,1,18.9,4.3,3.42,泌乳初期
159,2025-09-25,61,1,18.7,4.49,3.49,泌乳初期
160,2025-09-05,62,1,28.1,3.82,3.28,泌乳初期
161,2025-09-15,62,1,29.3,3.86,3.29,泌乳初期
162,2025-09-25,62,1,27.2,3.82,3.31,泌乳初期
163,2025-09-05,63,1,26.6,5.22,3.88,泌乳中期
164,2025-09-15,63,1,24.0,5.39,3.83,泌乳中期
165,2025-09-25,63,1,24.2,5.34,3.89,泌乳中期
166,2025-09-05,64,1,25.2,3.81,3.31,泌乳初期
167,2025-09-15,64,1,24.7,3.99,3.26,泌乳初期
168,2025-09-25,64,1,24.2,3.89,3.31,泌乳初期
169,2025-09-05,65,1,26.6,3.95,3.27,泌乳中期
170,2025-09-15,65,1,25.0,4.0,3.17,泌乳中期
171,2025-09-25,65,1,27.0,4.09,3.28,泌乳中期
172,2025-09-05,66,1,25.5,5.28,3.78,泌乳中期
173,2025-09-15,66,1,26.1,5.38,3.77,泌乳中期
174,2025-09-25,66,1,25.9,5.17,3.78,泌乳中期
175,2025-09-05,67,1,23.6,3.97,3.23,泌乳后期
176,2025-09-15,67,1,23.2,4.05,3.31,泌乳后期
177,2025-09-25,67,1,23.0,3.79,3.29,泌乳后期
178,2025-09-05,68,1,19.6,4.24,3.46,泌乳中期
179,2025-09-15,68,1,18.6,4.57,3.55,泌乳中期
180,2025-09-25,68,1,19.1,4.39,3.4,泌乳中期
181,2025-09-05,69,1,25.7,4.98,3.92,泌乳初期
182,2025-09-15,69,1,25.0,5.36,3.85,泌乳初期
183,2025-09-25,69,1,25.0,5.46,3.87,泌乳初期
184,2025-09-05,70,1,17.8,4.53,3.56,泌乳中期
185,2025-09-15,70,1,19.2,4.56,3.36,泌乳中期
186,2025-09-25,70,1,19.6,4.48,3.48,泌乳中期
187,2025-09-05,71,1,27.7,3.74,3.32,泌乳初期
188,2025-09-15,71,1,27.4,3.85,3.19,泌乳初期
189,2025-09-25,71,1,26.8,4.06,3.41,泌乳初期
190,2025-09-05,72,1,21.1,5.23,3.84,泌乳初期
191,2025-09-15,72,1,20.2,5.27,3.96,泌乳初期
192,2025-09-25,72,1,19.5,5.36,3.89,泌乳初期
193,2025-09-05,73,1,31.7,3.73,3.24,泌乳中期
194,2025-09-15,73,1,33.3,3.93,3.28,泌乳中期
195,2025-09-25,73,1,32.8,3.79,3.22,泌乳中期
196,2025-09-05,74,1,20.6,3.93,3.26,泌乳后期
197,2025-09-15,74,1,21.9,4.04,3.37,泌乳后期
198,2025-09-25,74,1,22.2,4.37,3.19,泌乳后期
199,2025-09-05,75,1,23.1,3.95,3.21,泌乳后期
200,2025-09-15,75,1,22.2,4.01,3.25,泌乳后期
201,2025-09-25,75,1,23.6,4.31,3.31,泌乳后期
202,2025-09-05,76,1,29.7,3.89,3.16,泌乳中期
203,2025-09-15,76,1,32.5,3.96,3.18,泌乳中期
204,2025-09-25,76,1,32.3,3.91,3.16,泌乳中期
205,2025-09-05,77,1,30.8,3.86,3.2,泌乳中期
206,2025-09-15,77,1,31.0,3.86,3.28,泌乳中期
207,2025-09-25,77,1,31.7,3.71,3.29,泌乳中期
208,2025-09-05,78,1,29.9,3.8,3.22,泌乳中期
209,2025-09-15,78,1,33.0,3.86,3.2,泌乳中期
210,2025-09-25,78,1,33.7,3.94,3.2,泌乳中期
211,2025-09-05,79,1,24.0,5.31,3.96,泌乳中期
212,2025-09-15,79,1,24.6,5.26,3.77,泌乳中期
213,2025-09-25,79,1,24.2,5.08,3.76,泌乳中期
214,2025-09-05,80,1,29.6,3.71,3.22,泌乳初期
215,2025-09-15,80,1,28.3,3.82,3.2,泌乳初期
216,2025-09-25,80,1,31.4,3.92,3.27,泌乳初期
217,2025-09-05,81,1,34.0,3.85,3.29,泌乳中期
218,2025-09-15,81,1,33.7,3.81,3.27,泌乳中期
219,2025-09-25,81,1,33.1,3.87,3.25,泌乳中期
220,2025-09-05,82,1,23.2,5.09,3.81,泌乳中期
221,2025-09-15,82,1,24.4,5.37,3.8,泌乳中期
222,2025-09-25,82,1,24.2,5.33,3.8,泌乳中期
223,2025-09-05,83,1,27.4,3.91,3.36,泌乳中期
224,2025-09-15,83,1,30.9,3.96,3.25,泌乳中期
225,2025-09-25,83,1,31.0,3.77,3.14,泌乳中期
226,2025-09-05,84,1,22.5,4.03,3.24,泌乳后期
227,2025-09-15,84,1,21.8,4.02,3.24,泌乳后期
228,2025-09-25,84,1,23.5,4.02,3.27,泌乳后期
229,2025-09-05,85,1,21.4,3.87,3.33,泌乳后期
230,2025-09-15,85,1,22.5,3.99,3.38,泌乳后期
231,2025-09-25,85,1,22.1,4.18,3.26,泌乳后期
232,2025-09-05,86,1,27.8,3.81,3.19,泌乳初期
233,2025-09-15,86,1,25.9,3.97,3.29,泌乳初期
234,2025-09-25,86,1,27.1,3.95,3.31,泌乳初期
235,2025-09-05,87,1,26.2,5.28,3.88,泌乳中期
236,2025-09-15,87,1,26.5,5.15,3.85,泌乳中期
237,2025-09-25,87,1,27.4,5.19,3.71,泌乳中期
238,2025-09-05,88,1,28.7,3.69,3.28,泌乳中期
239,2025-09-15,88,1,26.3,3.82,3.28,泌乳中期
240,2025-09-25,88,1,29.2,3.94,3.21,泌乳中期
241,2025-09-05,89,1,31.2,3.78,3.13,泌乳中期
242,2025-09-15,89,1,31.1,3.98,3.21,泌乳中期
243,2025-09-25,89,1,26.1,3.88,3.24,泌乳中期
244,2025-09-05,90,1,28.4,3.91,3.37,泌乳初期
245,2025-09-15,90,1,29.5,3.88,3.21,泌乳初期
246,2025-09-25,90,1,26.7,3.76,3.22,泌乳初期
247,2025-09-05,91,1,28.1,3.85,3.3,泌乳初期
248,2025-09-15,91,1,27.7,3.96,3.3,泌乳初期
249,2025-09-25,91,1,26.8,3.86,3.26,泌乳初期
250,2025-09-05,92,1,24.8,3.73,3.36,泌乳初期
251,2025-09-15,92,1,25.0,3.75,3.28,泌乳初期
252,2025-09-25,92,1,24.6,4.03,3.17,泌乳初期
253,2025-09-05,93,1,14.8,4.32,3.45,泌乳后期
254,2025-09-15,93,1,15.7,4.41,3.4,泌乳后期
255,2025-09-25,93,1,16.2,4.44,3.49,泌乳后期
256,2025-09-05,94,1,24.2,4.01,3.21,泌乳初期
257,2025-09-15,94,1,26.5,3.73,3.27,泌乳初期
258,2025-09-25,94,1,26.6,3.89,3.25,泌乳初期
259,2025-09-05,95,1,21.7,3.89,3.29,泌乳后期
260,2025-09-15,95,1,21.8,3.94,3.28,泌乳后期
261,2025-09-25,95,1,20.9,4.02,3.41,泌乳后期
262,2025-09-05,96,1,27.9,3.78,3.29,泌乳中期
263,2025-09-15,96,1,26.3,3.83,3.27,泌乳中期
264,2025-09-25,96,1,28.2,3.83,3.26,泌乳中期
265,2025-09-05,97,1,27.7,5.26,3.86,泌乳中期
266,2025-09-15,97,1,26.8,5.33,3.84,泌乳中期
267,2025-09-25,97,1,26.6,5.15,3.86,泌乳中期
268,2025-09-05,98,1,28.4,3.7,3.25,泌乳中期
269,2025-09-15,98,1,27.9,4.04,3.24,泌乳中期
270,2025-09-25,98,1,26.5,4.1,3.31,泌乳中期
271,2025-09-05,99,1,14.5,4.69,3.59,泌乳后期
272,2025-09-15,99,1,15.5,4.33,3.52,泌乳后期
273,2025-09-25,99,1,14.7,4.59,3.56,泌乳后期
274,2025-09-05,101,1,32.6,3.95,3.2,泌乳中期
275,2025-09-15,101,1,33.8,3.76,3.21,泌乳中期
276,2025-09-25,101,1,32.7,3.82,3.16,泌乳中期
277,2025-09-05,104,1,24.0,4.1,3.29,泌乳初期
278,2025-09-15,104,1,24.8,4.22,3.32,泌乳初期
279,2025-09-25,104,1,27.0,3.79,3.25,泌乳初期
280,2025-09-05,105,1,27.2,3.88,3.22,泌乳中期
281,2025-09-15,105,1,27.1,3.91,3.27,泌乳中期
282,2025-09-25,105,1,28.7,3.91,3.32,泌乳中期
283,2025-09-05,106,1,29.8,3.98,3.22,泌乳中期
284,2025-09-15,106,1,29.2,3.85,3.22,泌乳中期
285,2025-09-25,106,1,28.4,3.78,3.28,泌乳中期
286,2025-09-05,107,1,19.4,4.31,3.58,泌乳初期
287,2025-09-15,107,1,19.1,4.33,3.46,泌乳初期
288,2025-09-25,107,1,19.2,4.28,3.5,泌乳初期
289,2025-09-05,109,1,24.2,3.81,3.28,泌乳后期
290,2025-09-15,109,1,23.2,4.09,3.21,泌乳后期
291,2025-09-25,109,1,23.5,4.09,3.31,泌乳后期
292,2025-09-05,110,1,32.3,3.7,3.34,泌乳中期
293,2025-09-15,110,1,31.6,3.79,3.14,泌乳中期
294,2025-09-25,110,1,32.4,3.81,3.2,泌乳中期
295,2025-09-05,111,1,20.6,5.48,3.82,泌乳初期
296,2025-09-15,111,1,21.3,5.38,3.9,泌乳初期
297,2025-09-25,111,1,19.9,5.48,3.87,泌乳初期
298,2025-09-05,112,1,30.5,3.61,3.22,泌乳初期
299,2025-09-15,112,1,25.9,3.75,3.36,泌乳初期
300,2025-09-25,112,1,26.2,4.07,3.27,泌乳初期
301,2025-09-05,113,1,31.7,3.87,3.29,泌乳中期
302,2025-09-15,113,1,30.7,3.93,3.26,泌乳中期
303,2025-09-25,113,1,33.5,3.73,3.16,泌乳中期
304,2025-09-05,114,1,22.4,4.0,3.33,泌乳后期
305,2025-09-15,114,1,24.9,3.89,3.22,泌乳后期
306,2025-09-25,114,1,23.9,3.98,3.31,泌乳后期
307,2025-09-05,115,1,23.4,3.92,3.32,泌乳初期
308,2025-09-15,115,1,24.5,3.91,3.19,泌乳初期
309,2025-09-25,115,1,27.4,4.19,3.29,泌乳初期
310,2025-09-05,116,1,21.4,4.26,3.23,泌乳后期
311,2025-09-15,116,1,21.1,4.16,3.33,泌乳后期
312,2025-09-25,116,1,21.4,3.91,3.43,泌乳后期
313,2025-09-05,117,1,26.2,5.01,3.86,泌乳中期
314,2025-09-15,117,1,25.7,5.12,3.85,泌乳中期
315,2025-09-25,117,1,28.5,5.07,3.84,泌乳中期
316,2025-09-05,118,1,21.2,4.03,3.26,泌乳后期
317,2025-09-15,118,1,22.1,4.18,3.25,泌乳后期
318,2025-09-25,118,1,21.1,3.94,3.28,泌乳后期
319,2025-09-05,119,1,30.1,4.02,3.16,泌乳中期
320,2025-09-15,119,1,31.3,3.67,3.23,泌乳中期
321,2025-09-25,119,1,28.4,3.76,3.14,泌乳中期
322,2025-09-05,120,1,34.2,3.69,3.19,泌乳中期
323,2025-09-15,120,1,32.6,3.82,3.21,泌乳中期
324,2025-09-25,120,1,32.2,3.78,3.28,泌乳中期
325,2025-09-05,121,1,31.6,3.45,3.21,泌乳中期
326,2025-09-15,121,1,31.3,4.13,3.13,泌乳中期
327,2025-09-25,121,1,32.8,3.68,3.17,泌乳中期
328,2025-09-05,122,1,30.4,3.83,3.29,泌乳初期
329,2025-09-15,122,1,31.1,3.87,3.17,泌乳初期
330,2025-09-25,122,1,29.9,3.69,3.15,泌乳初期
331,2025-09-05,125,1,31.1,3.74,3.3,泌乳中期
332,2025-09-15,125,1,30.8,3.69,3.21,泌乳中期
333,2025-09-25,125,1,32.6,3.76,3.29,泌乳中期
334,2025-09-05,127,1,19.0,5.2,3.93,泌乳后期
335,2025-09-15,127,1,18.2,5.32,3.86,泌乳后期
336,2025-09-25,127,1,18.9,5.33,3.93,泌乳后期
337,2025-09-05,128,1,22.3,4.21,3.22,泌乳后期
338,2025-09-15,128,1,23.1,3.95,3.27,泌乳后期
339,2025-09-25,128,1,22.4,3.98,3.32,泌乳后期
340,2025-09-05,129,1,20.7,4.02,3.27,泌乳后期
341,2025-09-15,129,1,21.9,3.72,3.28,泌乳后期
342,2025-09-25,129,1,21.1,3.91,3.34,泌乳后期
343,2025-09-05,130,1,28.1,4.02,3.23,泌乳初期
344,2025-09-15,130,1,26.8,3.82,3.27,泌乳初期
345,2025-09-25,130,1,26.6,3.66,3.29,泌乳初期
346,2025-09-05,132,1,15.0,4.48,3.52,泌乳后期
347,2025-09-15,132,1,15.4,4.47,3.42,泌乳后期
348,2025-09-25,132,1,15.9,4.46,3.41,泌乳后期
349,2025-09-05,133,1,33.6,3.73,3.11,泌乳中期
350,2025-09-15,133,1,33.9,3.89,3.15,泌乳中期
351,2025-09-25,133,1,32.0,3.74,3.24,泌乳中期
352,2025-09-05,135,1,24.0,5.23,3.75,泌乳中期
353,2025-09-15,135,1,23.8,5.46,3.73,泌乳中期
354,2025-09-25,135,1,24.9,5.29,3.84,泌乳中期
355,2025-09-05,136,1,30.4,3.99,3.22,泌乳中期
356,2025-09-15,136,1,31.2,3.91,3.15,泌乳中期
357,2025-09-25,136,1,32.4,3.8,3.21,泌乳中期
358,2025-09-05,137,1,28.8,3.74,3.25,泌乳中期
359,2025-09-15,137,1,28.6,3.95,3.24,泌乳中期
360,2025-09-25,137,1,28.7,3.75,3.18,泌乳中期
361,2025-09-05,138,1,23.0,3.95,3.34,泌乳后期
362,2025-09-15,138,1,24.0,4.19,3.31,泌乳后期
363,2025-09-25,138,1,22.0,3.8,3.24,泌乳后期
364,2025-09-05,139,1,23.4,4.09,3.3,泌乳后期
365,2025-09-15,139,1,22.1,4.16,3.21,泌乳后期
366,2025-09-25,139,1,20.7,3.85,3.23,泌乳后期
367,2025-09-05,141,1,19.1,5.48,3.72,泌乳后期
368,2025-09-15,141,1,17.9,5.47,3.91,泌乳后期
369,2025-09-25,141,1,18.2,5.46,3.94,泌乳后期
370,2025-09-05,143,1,33.0,3.69,3.18,泌乳中期
371,2025-09-15,143,1,33.8,3.9,3.18,泌乳中期
372,2025-09-25,143,1,34.0,3.58,3.18,泌乳中期
373,2025-09-05,144,1,22.6,3.95,3.27,泌乳后期
374,2025-09-15,144,1,21.6,4.15,3.29,泌乳后期
375,2025-09-25,144,1,22.1,3.74,3.35,泌乳后期
376,2025-09-05,145,1,22.8,3.9,3.25,泌乳后期
377,2025-09-15,145,1,20.0,3.98,3.28,泌乳后期
378,2025-09-25,145,1,23.3,3.84,3.25,泌乳后期
379,2025-09-05,146,1,19.1,3.96,3.35,泌乳后期
380,2025-09-15,146,1,20.7,3.94,3.11,泌乳后期
381,2025-09-25,146,1,19.9,4.04,3.28,泌乳后期
382,2025-09-05,147,1,27.0,4.02,3.15,泌乳中期
383,2025-09-15,147,1,28.5,3.87,3.19,泌乳中期
384,2025-09-25,147,1,28.6,3.86,3.23,泌乳中期
385,2025-09-05,148,1,32.1,3.89,3.22,泌乳中期
386,2025-09-15,148,1,30.7,3.72,3.22,泌乳中期
387,2025-09-25,148,1,33.7,3.77,3.14,泌乳中期
388,2025-09-05,149,1,16.9,4.38,3.47,泌乳后期
389,2025-09-15,149,1,16.3,4.51,3.43,泌乳后期
390,2025-09-25,149,1,16.8,4.59,3.42,泌乳后期
391,2025-09-05,150,1,29.1,3.75,3.13,泌乳中期
392,2025-09-15,150,1,28.1,3.77,3.23,泌乳中期
393,2025-09-25,150,1,30.2,3.71,3.22,泌乳中期
394,2025-09-05,152,1,19.9,3.98,3.41,泌乳后期
395,2025-09-15,152,1,21.1,4.15,3.32,泌乳后期
396,2025-09-25,152,1,22.8,4.06,3.14,泌乳后期
397,2025-09-05,153,1,20.8,4.58,3.45,泌乳中期
398,2025-09-15,153,1,22.5,4.46,3.43,泌乳中期
399,2025-09-25,153,1,22.9,4.15,3.36,泌乳中期
400,2025-09-05,154,1,30.3,3.97,3.14,泌乳初期
401,2025-09-15,154,1,29.0,3.76,3.3,泌乳初期
402,2025-09-25,154,1,29.5,3.76,3.23,泌乳初期
403,2025-09-05,155,1,21.2,4.1,3.31,泌乳后期
404,2025-09-15,155,1,24.1,4.12,3.35,泌乳后期
405,2025-09-25,155,1,23.7,3.7,3.26,泌乳后期
406,2025-09-05,156,1,23.0,3.84,3.29,泌乳后期
407,2025-09-15,156,1,23.7,4.22,3.27,泌乳后期
408,2025-09-25,156,1,21.8,4.01,3.25,泌乳后期
409,2025-09-05,157,1,22.6,3.83,3.38,泌乳后期
410,2025-09-15,157,1,21.0,4.15,3.38,泌乳后期
411,2025-09-25,157,1,20.2,4.08,3.3,泌乳后期
412,2025-09-05,158,1,25.1,4.1,3.22,泌乳初期
413,2025-09-15,158,1,24.8,3.92,3.25,泌乳初期
414,2025-09-25,158,1,25.2,3.76,3.25,泌乳初期
415,2025-09-05,159,1,21.9,5.45,3.78,泌乳中期
416,2025-09-15,159,1,24.1,5.22,3.86,泌乳中期
417,2025-09-25,159,1,22.2,5.4,3.81,泌乳中期
418,2025-09-05,161,1,26.2,5.27,3.85,泌乳中期
419,2025-09-15,161,1,27.4,5.21,3.75,泌乳中期
420,2025-09-25,161,1,25.9,5.16,3.86,泌乳中期
421,2025-09-05,162,1,16.7,4.55,3.47,泌乳后期
422,2025-09-15,162,1,16.5,4.56,3.53,泌乳后期
423,2025-09-25,162,1,15.7,4.54,3.54,泌乳后期
424,2025-09-05,163,1,22.2,3.97,3.26,泌乳后期
425,2025-09-15,163,1,22.4,4.03,3.33,泌乳后期
426,2025-09-25,163,1,22.6,3.8,3.21,泌乳后期
427,2025-09-05,165,1,19.3,3.9,3.26,泌乳后期
428,2025-09-15,165,1,21.0,3.98,3.2,泌乳后期
429,2025-09-25,165,1,17.6,4.02,3.33,泌乳后期
430,2025-09-05,166,1,24.0,4.11,3.37,泌乳初期
431,2025-09-15,166,1,26.2,3.85,3.15,泌乳初期
432,2025-09-25,166,1,25.6,3.89,3.19,泌乳初期
433,2025-09-05,167,1,27.4,3.98,3.31,泌乳中期
434,2025-09-15,167,1,26.2,4.02,3.22,泌乳中期
