id,cattle_code,breed,parity,barn,farm_id
41,F001-C0041,荷斯坦,4,牛舍A,1
42,F001-C0042,西门塔尔,4,牛舍E,1
43,F001-C0043,荷斯坦,3,牛舍E,1
44,F001-C0044,荷斯坦,4,牛舍D,1
45,F001-C0045,娟姗,3,牛舍F,1
46,F001-C0046,西门塔尔,2,牛舍F,1
47,F001-C0047,荷斯坦,4,牛舍D,1
48,F001-C0048,荷斯坦,1,牛舍A,1
49,F001-C0049,荷斯坦,3,牛舍A,1
50,F001-C0050,西门塔尔,1,牛舍A,1
51,F001-C0051,西门塔尔,1,牛舍B,1
52,F001-C0052,荷斯坦,1,牛舍B,1
53,F001-C0053,娟姗,3,牛舍D,1
54,F001-C0054,西门塔尔,4,牛舍B,1
55,F001-C0055,荷斯坦,2,牛舍D,1
56,F001-C0056,荷斯坦,3,牛舍F,1
57,F001-C0057,娟姗,1,牛舍D,1
58,F001-C0058,荷斯坦,4,牛舍B,1
59,F001-C0059,荷斯坦,2,牛舍D,1
60,F001-C0060,荷斯坦,1,牛舍A,1
61,F001-C0061,西门塔尔,4,牛舍A,1
62,F001-C0062,荷斯坦,2,牛舍A,1
63,F001-C0063,娟姗,4,牛舍B,1
64,F001-C0064,荷斯坦,1,牛舍D,1
65,F001-C0065,荷斯坦,1,牛舍D,1
66,F001-C0066,娟姗,3,牛舍C,1
67,F001-C0067,荷斯坦,3,牛舍E,1
68,F001-C0068,西门塔尔,1,牛舍C,1
69,F001-C0069,娟姗,3,牛舍E,1
70,F001-C0070,西门塔尔,1,牛舍E,1
71,F001-C0071,荷斯坦,4,牛舍B,1
72,F001-C0072,娟姗,1,牛舍B,1
73,F001-C0073,荷斯坦,3,牛舍B,1
74,F001-C0074,荷斯坦,4,牛舍B,1
75,F001-C0075,荷斯坦,3,牛舍D,1
76,F001-C0076,荷斯坦,2,牛舍C,1
77,F001-C0077,荷斯坦,2,牛舍C,1
78,F001-C0078,荷斯坦,3,牛舍D,1
79,F001-C0079,娟姗,4,牛舍A,1
80,F001-C0080,荷斯坦,3,牛舍A,1
81,F001-C0081,荷斯坦,2,牛舍B,1
82,F001-C0082,娟姗,4,牛舍C,1
83,F001-C0083,荷斯坦,4,牛舍F,1
84,F001-C0084,荷斯坦,4,牛舍F,1
85,F001-C0085,荷斯坦,4,牛舍C,1
86,F001-C0086,荷斯坦,4,牛舍C,1
87,F001-C0087,娟姗,3,牛舍B,1
88,F001-C0088,荷斯坦,1,牛舍C,1
89,F001-C0089,荷斯坦,4,牛舍E,1
90,F001-C0090,荷斯坦,4,牛舍A,1
91,F001-C0091,荷斯坦,4,牛舍A,1
92,F001-C0092,荷斯坦,1,牛舍C,1
93,F001-C0093,西门塔尔,2,牛舍D,1
94,F001-C0094,荷斯坦,1,牛舍F,1
95,F001-C0095,荷斯坦,4,牛舍E,1
96,F001-C0096,荷斯坦,1,牛舍C,1
97,F001-C0097,娟姗,3,牛舍A,1
98,F001-C0098,荷斯坦,1,牛舍A,1
99,F001-C0099,西门塔尔,4,牛舍D,1
100,F001-C0100,西门塔尔,4,牛舍B,1
101,F001-C0101,荷斯坦,3,牛舍B,1
102,F001-C0102,荷斯坦,3,牛舍C,1
103,F001-C0103,娟姗,4,牛舍F,1
104,F001-C0104,荷斯坦,1,牛舍F,1
105,F001-C0105,荷斯坦,1,牛舍D,1
106,F001-C0106,荷斯坦,4,牛舍C,1
107,F001-C0107,西门塔尔,4,牛舍B,1
108,F001-C0108,荷斯坦,2,牛舍C,1
109,F001-C0109,荷斯坦,3,牛舍C,1
110,F001-C0110,荷斯坦,3,牛舍E,1
111,F001-C0111,娟姗,1,牛舍C,1
112,F001-C0112,荷斯坦,4,牛舍A,1
113,F001-C0113,荷斯坦,2,牛舍C,1
114,F001-C0114,荷斯坦,2,牛舍D,1
115,F001-C0115,荷斯坦,1,牛舍D,1
116,F001-C0116,荷斯坦,4,牛舍F,1
117,F001-C0117,娟姗,3,牛舍B,1
118,F001-C0118,荷斯坦,4,牛舍C,1
119,F001-C0119,荷斯坦,4,牛舍F,1
120,F001-C0120,荷斯坦,3,牛舍C,1
121,F001-C0121,荷斯坦,2,牛舍B,1
122,F001-C0122,荷斯坦,2,牛舍F,1
123,F001-C0123,荷斯坦,2,牛舍E,1
124,F001-C0124,荷斯坦,2,牛舍D,1
125,F001-C0125,荷斯坦,3,牛舍D,1
126,F001-C0126,荷斯坦,1,牛舍D,1
127,F001-C0127,娟姗,3,牛舍B,1
128,F001-C0128,荷斯坦,2,牛舍F,1
129,F001-C0129,荷斯坦,4,牛舍B,1
130,F001-C0130,荷斯坦,4,牛舍B,1
131,F001-C0131,荷斯坦,4,牛舍E,1
132,F001-C0132,西门塔尔,2,牛舍F,1
133,F001-C0133,荷斯坦,3,牛舍D,1
134,F001-C0134,荷斯坦,3,牛舍A,1
135,F001-C0135,娟姗,4,牛舍D,1
136,F001-C0136,荷斯坦,4,牛舍E,1
137,F001-C0137,荷斯坦,1,牛舍A,1
138,F001-C0138,荷斯坦,2,牛舍E,1
139,F001-C0139,荷斯坦,4,牛舍D,1
140,F001-C0140,西门塔尔,4,牛舍D,1
141,F001-C0141,娟姗,2,牛舍B,1
142,F001-C0142,娟姗,2,牛舍B,1
143,F001-C0143,荷斯坦,3,牛舍E,1
144,F001-C0144,荷斯坦,2,牛舍A,1
145,F001-C0145,荷斯坦,2,牛舍C,1
146,F001-C0146,荷斯坦,1,牛舍D,1
147,F001-C0147,荷斯坦,1,牛舍D,1
148,F001-C0148,荷斯坦,2,牛舍A,1
149,F001-C0149,西门塔尔,2,牛舍E,1
150,F001-C0150,荷斯坦,4,牛舍E,1
151,F001-C0151,荷斯坦,4,牛舍C,1
152,F001-C0152,荷斯坦,4,牛舍D,1
153,F001-C0153,西门塔尔,2,牛舍E,1
154,F001-C0154,荷斯坦,2,牛舍D,1
155,F001-C0155,荷斯坦,3,牛舍D,1
156,F001-C0156,荷斯坦,2,牛舍B,1
157,F001-C0157,荷斯坦,4,牛舍E,1
158,F001-C0158,荷斯坦,1,牛舍D,1
159,F001-C0159,娟姗,1,牛舍C,1
160,F001-C0160,荷斯坦,2,牛舍C,1
161,F001-C0161,娟姗,2,牛舍D,1
162,F001-C0162,西门塔尔,2,牛舍F,1
163,F001-C0163,荷斯坦,4,牛舍B,1
164,F001-C0164,荷斯坦,4,牛舍A,1
165,F001-C0165,荷斯坦,1,牛舍A,1
166,F001-C0166,荷斯坦,1,牛舍F,1
167,F001-C0167,荷斯坦,1,牛舍F,1
168,F001-C0168,西门塔尔,1,牛舍E,1
169,F001-C0169,西门塔尔,3,牛舍B,1
170,F001-C0170,荷斯坦,1,牛舍C,1
171,F001-C0171,荷斯坦,4,牛舍D,1
172,F001-C0172,荷斯坦,3,牛舍F,1
173,F001-C0173,荷斯坦,3,牛舍F,1
174,F001-C0174,西门塔尔,3,牛舍E,1
175,F001-C0175,荷斯坦,2,牛舍F,1
176,F001-C0176,荷斯坦,3,牛舍A,1
177,F001-C0177,荷斯坦,2,牛舍D,1
178,F001-C0178,荷斯坦,4,牛舍F,1
179,F001-C0179,荷斯坦,3,牛舍F,1
180,F001-C0180,荷斯坦,4,牛舍D,1
181,F001-C0181,荷斯坦,3,牛舍C,1
182,F001-C0182,西门塔尔,4,牛舍A,1
183,F001-C0183,娟姗,1,牛舍D,1
184,F001-C0184,荷斯坦,2,牛舍A,1
185,F001-C0185,西门塔尔,1,牛舍B,1
186,F001-C0186,西门塔尔,2,牛舍E,1
187,F001-C0187,娟姗,2,牛舍E,1
188,F001-C0188,荷斯坦,3,牛舍D,1
189,F001-C0189,西门塔尔,3,牛舍F,1
190,F001-C0190,荷斯坦,3,牛舍A,1
191,F001-C0191,荷斯坦,3,牛舍C,1
192,F001-C0192,荷斯坦,2,牛舍E,1
193,F001-C0193,荷斯坦,3,牛舍C,1
194,F001-C0194,西门塔尔,2,牛舍C,1
195,F001-C0195,荷斯坦,1,牛舍A,1
196,F001-C0196,荷斯坦,3,牛舍B,1
197,F001-C0197,荷斯坦,2,牛舍F,1
198,F001-C0198,娟姗,2,牛舍C,1
199,F001-C0199,西门塔尔,2,牛舍C,1
200,F001-C0200,荷斯坦,3,牛舍B,1
201,F001-C0201,荷斯坦,1,牛舍C,1
202,F001-C0202,娟姗,3,牛舍D,1
203,F001-C0203,娟姗,3,牛舍D,1
204,F001-C0204,荷斯坦,1,牛舍A,1
205,F001-C0205,娟姗,2,牛舍A,1
206,F001-C0206,荷斯坦,3,牛舍F,1
207,F001-C0207,荷斯坦,4,牛舍C,1
208,F001-C0208,娟姗,1,牛舍D,1
209,F001-C0209,荷斯坦,3,牛舍E,1
210,F001-C0210,荷斯坦,2,牛舍E,1
211,F001-C0211,荷斯坦,3,牛舍E,1
212,F001-C0212,荷斯坦,3,牛舍F,1
213,F001-C0213,荷斯坦,1,牛舍B,1
214,F001-C0214,荷斯坦,1,牛舍D,1
215,F001-C0215,荷斯坦,2,牛舍A,1
216,F001-C0216,荷斯坦,2,牛舍D,1
217,F001-C0217,荷斯坦,4,牛舍F,1
218,F001-C0218,荷斯坦,4,牛舍D,1
219,F001-C0219,荷斯坦,3,牛舍C,1
220,F001-C0220,荷斯坦,1,牛舍C,1
221,F001-C0221,西门塔尔,3,牛舍C,1
222,F001-C0222,荷斯坦,3,牛舍F,1
223,F001-C0223,娟姗,2,牛舍D,1
224,F001-C0224,荷斯坦,1,牛舍D,1
225,F001-C0225,荷斯坦,1,牛舍A,1
226,F001-C0226,娟姗,4,牛舍E,1
227,F001-C0227,娟姗,4,牛舍F,1
228,F001-C0228,荷斯坦,1,牛舍B,1
229,F001-C0229,荷斯坦,2,牛舍C,1
230,F001-C0230,娟姗,2,牛舍D,1
231,F001-C0231,荷斯坦,2,牛舍C,1
232,F001-C0232,荷斯坦,1,牛舍D,1
233,F001-C0233,荷斯坦,3,牛舍D,1
234,F001-C0234,西门塔尔,1,牛舍A,1
235,F001-C0235,荷斯坦,1,牛舍D,1
236,F001-C0236,荷斯坦,4,牛舍F,1
237,F001-C0237,荷斯坦,2,牛舍B,1
238,F001-C0238,荷斯坦,3,牛舍F,1
239,F001-C0239,西门塔尔,1,牛舍E,1
240,F001-C0240,娟姗,2,牛舍F,1
241,F001-C0241,荷斯坦,4,牛舍E,1
242,F001-C0242,荷斯坦,1,牛舍E,1
243,F001-C0243,荷斯坦,1,牛舍A,1
244,F001-C0244,娟姗,3,牛舍B,1
245,F001-C0245,娟姗,2,牛舍F,1
246,F001-C0246,荷斯坦,2,牛舍D,1
247,F001-C0247,荷斯坦,1,牛舍B,1
248,F001-C0248,荷斯坦,4,牛舍A,1
249,F001-C0249,西门塔尔,4,牛舍C,1
250,F001-C0250,荷斯坦,4,牛舍C,1
251,F001-C0251,荷斯坦,3,牛舍F,1
252,F001-C0252,娟姗,2,牛舍D,1
253,F001-C0253,荷斯坦,3,牛舍D,1
254,F001-C0254,娟姗,4,牛舍F,1
255,F001-C0255,荷斯坦,1,牛舍D,1
256,F001-C0256,荷斯坦,2,牛舍D,1
257,F001-C0257,娟姗,3,牛舍F,1
258,F001-C0258,荷斯坦,1,牛舍E,1
259,F001-C0259,荷斯坦,1,牛舍D,1
260,F001-C0260,荷斯坦,2,牛舍F,1
261,F001-C0261,荷斯坦,3,牛舍B,1
262,F001-C0262,荷斯坦,4,牛舍C,1
263,F001-C0263,荷斯坦,3,牛舍C,1
264,F001-C0264,荷斯坦,2,牛舍C,1
265,F001-C0265,西门塔尔,3,牛舍E,1
266,F001-C0266,荷斯坦,1,牛舍F,1
267,F001-C0267,娟姗,3,牛舍D,1
268,F001-C0268,西门塔尔,3,牛舍A,1
269,F001-C0269,荷斯坦,2,牛舍A,1
270,F001-C0270,荷斯坦,1,牛舍C,1
271,F001-C0271,荷斯坦,1,牛舍D,1
272,F001-C0272,荷斯坦,1,牛舍B,1
273,F001-C0273,荷斯坦,2,牛舍F,1
274,F001-C0274,荷斯坦,3,牛舍B,1
275,F001-C0275,荷斯坦,2,牛舍F,1
276,F001-C0276,娟姗,2,牛舍C,1
277,F001-C0277,荷斯坦,1,牛舍C,1
278,F001-C0278,荷斯坦,4,牛舍F,1
279,F001-C0279,荷斯坦,2,牛舍D,1
280,F001-C0280,荷斯坦,1,牛舍E,1
281,F002-C0001,荷斯坦,4,牛舍C,2
282,F002-C0002,娟姗,3,牛舍C,2
283,F002-C0003,荷斯坦,3,牛舍F,2
284,F002-C0004,娟姗,3,牛舍C,2
285,F002-C0005,西门塔尔,3,牛舍C,2
286,F002-C0006,荷斯坦,3,牛舍F,2
287,F002-C0007,西门塔尔,3,牛舍B,2
288,F002-C0008,荷斯坦,3,牛舍A,2
289,F002-C0009,西门塔尔,1,牛舍C,2
290,F002-C0010,荷斯坦,4,牛舍C,2
291,F002-C0011,荷斯坦,1,牛舍E,2
292,F002-C0012,荷斯坦,4,牛舍B,2
293,F002-C0013,娟姗,4,牛舍C,2
294,F002-C0014,娟姗,4,牛舍D,2
295,F002-C0015,荷斯坦,4,牛舍F,2
296,F002-C0016,荷斯坦,2,牛舍E,2
297,F002-C0017,荷斯坦,2,牛舍C,2
298,F002-C0018,荷斯坦,2,牛舍F,2
299,F002-C0019,荷斯坦,2,牛舍F,2
300,F002-C0020,荷斯坦,1,牛舍A,2
301,F002-C0021,娟姗,3,牛舍E,2
302,F002-C0022,荷斯坦,3,牛舍D,2
303,F002-C0023,荷斯坦,2,牛舍B,2
304,F002-C0024,娟姗,2,牛舍D,2
305,F002-C0025,荷斯坦,4,牛舍B,2
306,F002-C0026,荷斯坦,3,牛舍F,2
307,F002-C0027,娟姗,2,牛舍F,2
308,F002-C0028,荷斯坦,2,牛舍A,2
309,F002-C0029,荷斯坦,2,牛舍C,2
310,F002-C0030,荷斯坦,1,牛舍D,2
311,F002-C0031,西门塔尔,1,牛舍F,2
312,F002-C0032,荷斯坦,4,牛舍C,2
313,F002-C0033,荷斯坦,1,牛舍A,2
314,F002-C0034,西门塔尔,1,牛舍B,2
315,F002-C0035,荷斯坦,4,牛舍A,2
316,F002-C0036,荷斯坦,4,牛舍E,2
317,F002-C0037,荷斯坦,3,牛舍B,2
318,F002-C0038,荷斯坦,4,牛舍C,2
319,F002-C0039,荷斯坦,4,牛舍A,2
320,F002-C0040,西门塔尔,1,牛舍B,2
321,F002-C0041,荷斯坦,1,牛舍F,2
322,F002-C0042,荷斯坦,1,牛舍B,2
323,F002-C0043,荷斯坦,1,牛舍A,2
324,F002-C0044,西门塔尔,2,牛舍F,2
325,F002-C0045,荷斯坦,3,牛舍E,2
326,F002-C0046,荷斯坦,2,牛舍E,2
327,F002-C0047,西门塔尔,4,牛舍F,2
328,F002-C0048,荷斯坦,3,牛舍A,2
329,F002-C0049,娟姗,4,牛舍D,2
330,F002-C0050,荷斯坦,3,牛舍D,2
331,F002-C0051,娟姗,2,牛舍B,2
332,F002-C0052,荷斯坦,3,牛舍E,2
333,F002-C0053,西门塔尔,2,牛舍E,2
334,F002-C0054,荷斯坦,2,牛舍D,2
335,F002-C0055,西门塔尔,1,牛舍F,2
336,F002-C0056,娟姗,2,牛舍B,2
337,F002-C0057,荷斯坦,1,牛舍C,2
338,F002-C0058,荷斯坦,2,牛舍A,2
339,F002-C0059,荷斯坦,3,牛舍C,2
340,F002-C0060,荷斯坦,2,牛舍A,2
341,F002-C0061,荷斯坦,2,牛舍F,2
342,F002-C0062,荷斯坦,1,牛舍A,2
343,F002-C0063,娟姗,3,牛舍F,2
344,F002-C0064,荷斯坦,4,牛舍D,2
345,F002-C0065,娟姗,1,牛舍C,2
346,F002-C0066,荷斯坦,1,牛舍E,2
347,F002-C0067,荷斯坦,2,牛舍A,2
348,F002-C0068,西门塔尔,2,牛舍C,2
349,F002-C0069,荷斯坦,2,牛舍E,2
350,F002-C0070,西门塔尔,3,牛舍F,2
351,F002-C0071,荷斯坦,4,牛舍F,2
352,F002-C0072,荷斯坦,2,牛舍C,2
353,F002-C0073,荷斯坦,1,牛舍B,2
354,F002-C0074,荷斯坦,1,牛舍F,2
355,F002-C0075,娟姗,1,牛舍E,2
356,F002-C0076,荷斯坦,2,牛舍B,2
357,F002-C0077,荷斯坦,2,牛舍E,2
358,F002-C0078,荷斯坦,1,牛舍B,2
359,F002-C0079,荷斯坦,3,牛舍C,2
360,F002-C0080,荷斯坦,2,牛舍D,2
361,F002-C0081,荷斯坦,3,牛舍A,2
362,F002-C0082,荷斯坦,2,牛舍F,2
363,F002-C0083,荷斯坦,3,牛舍A,2
364,F002-C0084,荷斯坦,3,牛舍A,2
365,F002-C0085,荷斯坦,1,牛舍B,2
366,F002-C0086,荷斯坦,2,牛舍A,2
367,F002-C0087,西门塔尔,1,牛舍D,2
368,F002-C0088,西门塔尔,2,牛舍F,2
369,F002-C0089,荷斯坦,2,牛舍F,2
370,F002-C0090,荷斯坦,2,牛舍A,2
371,F002-C0091,荷斯坦,2,牛舍D,2
372,F002-C0092,荷斯坦,2,牛舍D,2
373,F002-C0093,娟姗,1,牛舍E,2
374,F002-C0094,西门塔尔,4,牛舍A,2
375,F002-C0095,西门塔尔,1,牛舍E,2
376,F002-C0096,荷斯坦,2,牛舍C,2
377,F002-C0097,荷斯坦,2,牛舍B,2
378,F002-C0098,荷斯坦,1,牛舍E,2
379,F002-C0099,娟姗,2,牛舍F,2
380,F002-C0100,荷斯坦,1,牛舍A,2
381,F002-C0101,荷斯坦,1,牛舍B,2
382,F002-C0102,西门塔尔,1,牛舍F,2
383,F002-C0103,荷斯坦,3,牛舍E,2
384,F002-C0104,荷斯坦,4,牛舍F,2
385,F002-C0105,娟姗,2,牛舍F,2
386,F002-C0106,荷斯坦,1,牛舍D,2
387,F002-C0107,荷斯坦,2,牛舍A,2
388,F002-C0108,荷斯坦,2,牛舍D,2
389,F002-C0109,荷斯坦,4,牛舍A,2
390,F002-C0110,娟姗,4,牛舍E,2
391,F002-C0111,荷斯坦,2,牛舍E,2
392,F002-C0112,西门塔尔,1,牛舍E,2
393,F002-C0113,荷斯坦,3,牛舍E,2
394,F002-C0114,娟姗,2,牛舍C,2
395,F002-C0115,荷斯坦,3,牛舍A,2
396,F002-C0116,西门塔尔,4,牛舍E,2
397,F002-C0117,荷斯坦,2,牛舍C,2
398,F002-C0118,荷斯坦,2,牛舍E,2
399,F002-C0119,西门塔尔,3,牛舍A,2
400,F002-C0120,荷斯坦,3,牛舍C,2
401,F002-C0121,西门塔尔,3,牛舍E,2
402,F002-C0122,荷斯坦,1,牛舍F,2
403,F002-C0123,娟姗,2,牛舍F,2
404,F002-C0124,荷斯坦,1,牛舍F,2
405,F002-C0125,荷斯坦,2,牛舍C,2
406,F002-C0126,荷斯坦,3,牛舍F,2
407,F002-C0127,娟姗,1,牛舍F,2
408,F002-C0128,荷斯坦,1,牛舍C,2
409,F002-C0129,娟姗,2,牛舍D,2
410,F002-C0130,荷斯坦,1,牛舍A,2
411,F002-C0131,西门塔尔,1,牛舍E,2
412,F002-C0132,西门塔尔,2,牛舍F,2
413,F002-C0133,娟姗,3,牛舍E,2
414,F002-C0134,荷斯坦,1,牛舍F,2
415,F002-C0135,荷斯坦,4,牛舍F,2
416,F002-C0136,荷斯坦,2,牛舍F,2
417,F002-C0137,娟姗,3,牛舍F,2
418,F002-C0138,荷斯坦,2,牛舍C,2
419,F002-C0139,西门塔尔,4,牛舍B,2
420,F002-C0140,荷斯坦,3,牛舍D,2
421,F002-C0141,西门塔尔,3,牛舍E,2
422,F002-C0142,荷斯坦,1,牛舍B,2
423,F002-C0143,荷斯坦,4,牛舍A,2
424,F002-C0144,荷斯坦,2,牛舍A,2
425,F002-C0145,西门塔尔,4,牛舍C,2
426,F002-C0146,西门塔尔,2,牛舍E,2
427,F002-C0147,西门塔尔,1,牛舍B,2
428,F002-C0148,荷斯坦,2,牛舍A,2
429,F002-C0149,荷斯坦,2,牛舍B,2
430,F002-C0150,娟姗,2,牛舍A,2
431,F002-C0151,娟姗,4,牛舍F,2
432,F002-C0152,西门塔尔,1,牛舍C,2
433,F002-C0153,荷斯坦,4,牛舍F,2
434,F002-C0154,荷斯坦,1,牛舍A,2
435,F002-C0155,荷斯坦,4,牛舍E,2
436,F002-C0156,荷斯坦,2,牛舍C,2
437,F002-C0157,荷斯坦,1,牛舍D,2
438,F002-C0158,西门塔尔,2,牛舍A,2
439,F002-C0159,娟姗,3,牛舍A,2
440,F002-C0160,荷斯坦,1,牛舍B,2
441,F002-C0161,荷斯坦,3,牛舍B,2
442,F002-C0162,荷斯坦,3,牛舍A,2
443,F002-C0163,娟姗,1,牛舍E,2
444,F002-C0164,荷斯坦,4,牛舍E,2
445,F002-C0165,荷斯坦,2,牛舍F,2
446,F002-C0166,娟姗,1,牛舍A,2
447,F002-C0167,西门塔尔,2,牛舍F,2
448,F002-C0168,荷斯坦,3,牛舍F,2
449,F002-C0169,荷斯坦,1,牛舍E,2
450,F002-C0170,西门塔尔,1,牛舍F,2
451,F002-C0171,娟姗,2,牛舍B,2
452,F002-C0172,荷斯坦,3,牛舍D,2
453,F002-C0173,荷斯坦,1,牛舍B,2
454,F002-C0174,荷斯坦,2,牛舍D,2
455,F002-C0175,荷斯坦,1,牛舍F,2
456,F002-C0176,荷斯坦,4,牛舍A,2
457,F002-C0177,荷斯坦,2,牛舍C,2
458,F002-C0178,娟姗,3,牛舍D,2
459,F002-C0179,娟姗,2,牛舍D,2
460,F002-C0180,娟姗,2,牛舍A,2
461,F002-C0181,荷斯坦,2,牛舍B,2
462,F002-C0182,荷斯坦,1,牛舍C,2
463,F002-C0183,荷斯坦,2,牛舍F,2
464,F002-C0184,荷斯坦,2,牛舍D,2
465,F002-C0185,西门塔尔,4,牛舍E,2
466,F002-C0186,荷斯坦,4,牛舍A,2
467,F002-C0187,荷斯坦,2,牛舍E,2
468,F002-C0188,西门塔尔,1,牛舍A,2
469,F002-C0189,西门塔尔,3,牛舍D,2
470,F002-C0190,荷斯坦,1,牛舍F,2
471,F002-C0191,荷斯坦,4,牛舍A,2
472,F002-C0192,荷斯坦,2,牛舍C,2
473,F002-C0193,荷斯坦,1,牛舍B,2
474,F002-C0194,荷斯坦,2,牛舍C,2
475,F002-C0195,娟姗,1,牛舍B,2
476,F002-C0196,荷斯坦,4,牛舍A,2
477,F002-C0197,西门塔尔,3,牛舍B,2
478,F002-C0198,荷斯坦,4,牛舍D,2
479,F002-C0199,荷斯坦,4,牛舍D,2
480,F002-C0200,娟姗,2,牛舍A,2
481,F002-C0201,荷斯坦,4,牛舍C,2
482,F002-C0202,荷斯坦,1,牛舍E,2
483,F002-C0203,娟姗,4,牛舍F,2
484,F002-C0204,娟姗,3,牛舍C,2
485,F002-C0205,荷斯坦,4,牛舍B,2
486,F002-C0206,西门塔尔,1,牛舍E,2
487,F002-C0207,荷斯坦,4,牛舍E,2
488,F002-C0208,荷斯坦,1,牛舍C,2
489,F002-C0209,娟姗,3,牛舍E,2
490,F002-C0210,西门塔尔,4,牛舍A,2
491,F002-C0211,娟姗,3,牛舍D,2
492,F002-C0212,荷斯坦,2,牛舍E,2
493,F002-C0213,荷斯坦,3,牛舍B,2
494,F002-C0214,荷斯坦,4,牛舍A,2
495,F002-C0215,荷斯坦,1,牛舍C,2
496,F002-C0216,荷斯坦,4,牛舍E,2
497,F002-C0217,西门塔尔,1,牛舍F,2
498,F002-C0218,荷斯坦,3,牛舍E,2
499,F002-C0219,荷斯坦,3,牛舍E,2
500,F002-C0220,荷斯坦,3,牛舍F,2
501,F002-C0221,荷斯坦,4,牛舍A,2
502,F002-C0222,娟姗,1,牛舍F,2
503,F002-C0223,荷斯坦,3,牛舍E,2
504,F002-C0224,荷斯坦,1,牛舍F,2
505,F002-C0225,荷斯坦,4,牛舍D,2
506,F002-C0226,西门塔尔,3,牛舍C,2
507,F002-C0227,荷斯坦,1,牛舍D,2
508,F002-C0228,荷斯坦,1,牛舍E,2
509,F002-C0229,荷斯坦,3,牛舍F,2
510,F002-C0230,荷斯坦,2,牛舍C,2
511,F002-C0231,荷斯坦,2,牛舍D,2
512,F002-C0232,荷斯坦,1,牛舍A,2
513,F002-C0233,荷斯坦,2,牛舍E,2
514,F002-C0234,荷斯坦,4,牛舍B,2
515,F002-C0235,荷斯坦,3,牛舍C,2
516,F002-C0236,西门塔尔,2,牛舍E,2
517,F002-C0237,荷斯坦,2,牛舍A,2
518,F002-C0238,娟姗,2,牛舍B,2
519,F002-C0239,荷斯坦,1,牛舍C,2
520,F002-C0240,荷斯坦,4,牛舍F,2
521,F002-C0241,荷斯坦,1,牛舍A,2
522,F002-C0242,荷斯坦,2,牛舍C,2
523,F002-C0243,荷斯坦,1,牛舍A,2
524,F002-C0244,荷斯坦,2,牛舍C,2
525,F002-C0245,荷斯坦,2,牛舍E,2
526,F002-C0246,西门塔尔,3,牛舍E,2
527,F002-C0247,荷斯坦,1,牛舍C,2
528,F002-C0248,娟姗,2,牛舍C,2
529,F002-C0249,荷斯坦,3,牛舍D,2
530,F002-C0250,荷斯坦,1,牛舍F,2
531,F002-C0251,西门塔尔,2,牛舍B,2
532,F002-C0252,娟姗,1,牛舍E,2
533,F002-C0253,荷斯坦,4,牛舍F,2
534,F002-C0254,荷斯坦,2,牛舍E,2
535,F002-C0255,荷斯坦,3,牛舍D,2
536,F002-C0256,荷斯坦,2,牛舍A,2
537,F002-C0257,荷斯坦,3,牛舍F,2
538,F002-C0258,荷斯坦,1,牛舍D,2
539,F002-C0259,娟姗,3,牛舍E,2
540,F002-C0260,荷斯坦,1,牛舍D,2
541,F003-C0001,荷斯坦,3,牛舍D,3
542,F003-C0002,西门塔尔,1,牛舍E,3
543,F003-C0003,荷斯坦,1,牛舍C,3
